State,Year,Dem Wins,GOP Wins,Total Dem Votes,Total GOP Votes,Total Other Votes,Average Efficiency Gap
AK,1992,14,17,82584,86551,11777,-0.3258997385770905
AK,1994,11,18,67754,74439,6706,-0.30876375367454895
AK,1996,11,23,79837,109477,1852,-0.2703253097283126
AK,1998,7,17,54724,70278,760,-0.3040814797893369
AK,2000,8,15,64500,79000,2629,-0.24667644233576355
AK,2002,8,10,46155,53690,4784,-0.30778830639804017
AK,2004,10,19,91954,115508,4513,-0.28993999853154234
AK,2006,11,15,68653,82421,1043,-0.27268111358469355
AK,2008,11,20,97102,143468,1289,-0.23197937817308678
AK,2010,6,17,54986,85980,350,-0.2247536103168631
AK,2012,11,15,74102,100126,2643,-0.2575347785278215
AL,1974,31,0,137032,58959,563,-0.06161593685286391
AL,1978,29,4,164242,99190,4,-0.17030598177725376
AL,1982,26,8,210430,128715,4664,-0.15007057979589317
AL,1986,33,13,303040,260580,50,-0.19573602068441948
AL,1990,36,12,317396,235477,997,-0.2232951738499842
AL,1994,28,21,273932,289506,6401,-0.2320239447277424
AL,1998,39,16,384155,303926,1447,-0.23500026717325584
AL,2002,33,19,345067,310297,9503,-0.21627243431525087
AL,2006,25,19,267617,253667,396,-0.22778096983670937
AL,2010,12,30,251973,339315,6402,-0.2784495013236563
AR,1984,8,5,97144,83337,0,-0.2837816207931491
AR,1986,10,3,90489,55521,872,-0.13055684656097588
AR,1988,6,4,60343,63821,0,-0.20126195961676446
AR,1990,20,2,146732,85595,8001,-0.21515534982346052
AR,1992,17,8,130227,110489,868,-0.27186855403103805
AR,1994,27,6,148840,115800,1409,-0.32952517871401565
AR,1996,28,4,206387,149569,970,-0.302091772544943
AR,1998,27,18,205928,171674,578,-0.3249707566027931
AR,2000,20,13,182131,162830,1093,-0.28461204844255494
AR,2002,16,17,135408,133740,481,-0.30206047896931265
AR,2004,18,9,147941,144553,3862,-0.3279807656770523
AR,2006,25,4,135045,104077,0,-0.2829997510542679
AR,2008,11,11,122148,123554,6377,-0.31202664428663374
AR,2010,9,22,117988,143871,0,-0.3237490566578582
AR,2012,27,28,499227,531105,16252,-0.36906472504661386
CA,1972,48,28,4108820,3625540,102385,-0.20017832539877523
CA,1974,53,25,3126477,2451942,115455,-0.22344788101120963
CA,1976,53,19,3737636,2821295,116048,-0.22385774575578057
CA,1978,45,28,2968477,2668874,79234,-0.20818022539367925
CA,1980,42,30,3464762,3518539,319847,-0.19299218347815253
CA,1982,43,27,3436333,3043344,112919,-0.20027208292232318
CA,1984,38,30,3659625,3889930,75372,-0.14547877302827164
CA,1986,44,33,3472854,3213270,105881,-0.12539891689727478
CA,1988,40,33,4232762,4374093,140472,-0.15099132087173764
CA,1990,39,29,3152625,2954066,257126,-0.24309786391216062
CA,1992,43,31,4879476,4281997,505149,-0.23198657605172293
CA,1994,35,41,3565684,3901233,221711,-0.21055848107487507
CA,1996,39,34,4296160,4075035,290876,-0.23243193641478785
CA,1998,46,27,3966423,3107938,179555,-0.16842227851640337
CA,2000,48,29,5237130,4213108,471606,-0.13768458182408314
CA,2002,40,32,3297123,3079945,154732,-0.16391676360025903
CA,2004,43,31,5566265,4917657,242249,-0.1745189633451149
CA,2006,42,31,4073043,3456613,149925,-0.1751736056275144
CA,2008,46,26,6424394,4389936,199912,-0.1746258837037278
CA,2010,48,26,4833304,3867687,165997,-0.18768619136832648
CA,2012,42,21,8829842,6479313,88658,-0.25397196647974324
CO,1972,22,32,335019,390456,7349,-0.30873990324464917
CO,1974,34,24,380183,322244,1644,-0.3137365777395743
CO,1976,19,34,395256,452489,900,-0.29720165859506403
CO,1978,16,30,269747,318557,5369,-0.2822448193690177
CO,1980,17,31,361833,474000,4042,-0.27926487324159915
CO,1982,19,26,307817,341350,1034,-0.31024267555380797
CO,1984,11,31,355659,438117,0,-0.25453705528636245
CO,1986,17,31,343639,428283,478,-0.28257846472421766
CO,1988,16,30,428492,528457,2331,-0.2686888507177261
CO,1990,19,30,354839,399244,0,-0.2922829873042251
CO,1992,26,28,588217,590559,0,-0.2711113504711118
CO,1994,18,34,360787,490799,2313,-0.23239410518646303
CO,1996,20,26,452504,521113,6786,-0.2583345269122504
CO,1998,20,29,435107,514901,9906,-0.27673828232402825
CO,2000,20,24,512908,560483,38623,-0.3008443184600814
CO,2002,21,24,426244,462991,18050,-0.28140221688609957
CO,2004,26,23,699971,750847,16887,-0.2798602791711333
CO,2006,26,24,587703,608731,2733,-0.28674470000818514
CO,2008,33,23,998041,916670,6524,-0.25189000219084684
CO,2010,31,22,659284,652132,16540,-0.272801291778587
CO,2012,37,21,1786667,1551099,153301,-0.29219810208490005
CT,1972,56,93,615130,705878,3514,-0.2956636361414064
CT,1974,117,33,609910,450220,2467,-0.25757725497306
CT,1976,86,57,646618,626372,3498,-0.3046023171101533
CT,1978,96,46,523539,438322,2792,-0.2663308884361952
CT,1980,72,63,587782,616431,913,-0.282756168475523
CT,1982,78,60,508650,471902,488,-0.2685012644879685
CT,1984,58,76,563835,680372,2301,-0.26930967005572126
CT,1986,74,52,428146,387272,972,-0.2548195795260747
CT,1988,74,54,577849,544780,2842,-0.21993472395093164
CT,1990,70,46,411903,396938,6074,-0.23166032215175764
CT,1992,85,57,567272,618160,122425,-0.3000135028031789
CT,1994,79,47,369321,415699,86463,-0.27489442130987024
CT,1996,73,36,508493,405803,7520,-0.18510772650928103
CT,1998,75,32,378465,304284,3127,-0.18157542607073165
CT,2000,66,24,442147,324957,6557,-0.17050076046244841
CT,2002,69,32,354357,292093,3462,-0.2201213089076629
CT,2004,57,32,456876,392064,7119,-0.21106173519192203
CT,2006,73,17,379230,247992,9545,-0.18053776129265148
CT,2008,68,20,520213,367410,27329,-0.20870981722436016
CT,2010,75,36,454130,411725,13400,-0.2838545266530318
CT,2012,82,38,1378413,1051805,91744,-0.24862952461479326
DE,1972,19,21,104194,112118,343,-0.2859228743911684
DE,1974,20,13,68535,60097,609,-0.27405655296637144
DE,1976,23,12,99888,88141,175,-0.24428521839789577
DE,1978,16,16,63122,62444,160,-0.25491271937893667
DE,1980,10,21,73510,98315,530,-0.28347564107361767
DE,1982,19,12,68159,72722,303,-0.29986464263338297
DE,1984,12,14,75286,79263,96,-0.20901322161001243
DE,1986,9,15,46104,53256,0,-0.2394368865128104
DE,1988,8,12,52217,69446,134,-0.2338594519190261
DE,1990,6,14,42711,50471,69,-0.29397059852095175
DE,1992,14,13,93306,89028,171,-0.2521835953579779
DE,1994,2,17,35536,57782,0,-0.20614534079091248
DE,1996,7,16,71439,89627,288,-0.25234927828927267
DE,1998,7,8,34822,36632,589,-0.26099263845404824
DE,2000,6,16,85308,90636,104,-0.24130512544851548
DE,2002,4,16,50980,65385,740,-0.28501364687201153
DE,2004,6,15,87040,106557,399,-0.23764449108120433
DE,2006,9,15,81599,82832,331,-0.2674280643209324
DE,2008,16,12,140290,125475,1026,-0.23419854303682222
DE,2010,19,9,116915,100151,1503,-0.2478756489483458
DE,2012,18,10,308964,233985,7409,-0.2930495261602258
FL,1982,44,31,901759,841091,3639,-0.2730016908683403
FL,1984,29,26,922861,961565,1161,-0.2544107853469343
FL,1986,38,27,939924,900749,1175,-0.25481514845108677
FL,1988,33,19,890517,880571,899,-0.23222029423193125
FL,1990,35,26,974008,941766,0,-0.29630911528100945
FL,1992,40,26,1425562,1344690,7549,-0.31562490978303187
FL,1994,30,25,903495,956453,14153,-0.3254198039617588
FL,1996,30,29,1292806,1320457,0,-0.290575321091355
FL,1998,19,26,697339,749662,0,-0.28685801734422167
FL,2000,22,47,1564330,1778978,6554,-0.2965981927159834
FL,2002,12,31,749921,976468,40140,-0.23569572970924246
FL,2004,5,31,944975,1270421,12282,-0.28111992273783226
