State,Year,Dem Wins,GOP Wins,Total Dem Votes,Total GOP Votes,Total Other Votes,Average Efficiency Gap
FL,2006,17,33,991478,1098086,2855,-0.3223112864974076
FL,2008,15,41,1740317,2059762,32846,-0.32522957700883026
FL,2010,14,46,1140035,1568749,32296,-0.2626437157983098
FL,2012,26,39,4479793,4384785,189046,-0.394866184400588
GA,1992,29,26,348226,363572,0,-0.31627860956610226
GA,1994,35,29,268233,263802,0,-0.2947539496235182
GA,1996,43,32,454653,465190,0,-0.25547803549083353
GA,1998,48,25,367050,323801,0,-0.22887333410334865
GA,2000,29,28,370799,418490,3735,-0.24692248070183426
GA,2004,32,39,546471,643397,1994,-0.233148671043551
GA,2006,14,36,238432,340210,2331,-0.22615208016770263
GA,2008,14,23,329225,398420,0,-0.26080253587040286
GA,2010,11,46,313061,536858,3,-0.14170979042323473
GA,2012,16,44,1411719,1687148,0,-0.2926140465369834
HI,1982,25,7,116767,76923,2191,-0.1722231473908282
HI,1984,21,9,109898,82693,0,-0.21125593226576397
HI,1986,27,7,126131,81159,0,-0.13375139512998677
HI,1988,25,4,123683,69874,59,-0.15860853529578253
HI,1990,19,6,100128,66884,260,-0.2282550878881284
HI,1992,29,4,140198,89059,5218,-0.14163369848351118
HI,1994,28,6,137288,90772,3580,-0.15668693810757572
HI,1996,27,12,151053,118298,2183,-0.17295123696065345
HI,1998,38,12,229112,153898,2587,-0.1694360084042868
HI,2000,22,15,133658,104470,4602,-0.24510219778711403
HI,2002,31,13,171132,135800,3025,-0.21951504113325804
HI,2004,39,9,224180,163569,364,-0.2230656144920511
HI,2006,39,6,193026,99255,884,-0.13910723355066967
HI,2008,23,4,140334,85236,0,-0.16409856410219964
HI,2010,41,5,212441,110612,0,-0.13379787093285667
HI,2012,32,5,343807,158797,4003,-0.12560959262933363
IA,1972,42,55,544783,571299,813,-0.3345169099276989
IA,1974,54,39,431636,392002,552,-0.30158356575858813
IA,1976,56,34,571741,501357,1395,-0.2902990814764381
IA,1978,36,41,302555,323300,4416,-0.33688194883511347
IA,1980,39,47,503201,529270,3196,-0.30979137894686654
IA,1982,50,33,438073,395918,623,-0.32222302563040495
IA,1984,44,29,469723,436067,2272,-0.2991126080282533
IA,1986,44,21,313510,258378,437,-0.30105698567882
IA,1988,51,28,493247,421108,446,-0.2915994138740482
IA,1990,39,29,334408,304841,0,-0.3127858952590722
IA,1992,33,39,461289,460931,5092,-0.3289863432307294
IA,1994,19,40,266449,317364,1518,-0.31678221241044413
IA,1996,35,41,433133,456489,1286,-0.2918643166979966
IA,1998,24,36,284358,297845,573,-0.309572656546372
IA,2000,24,40,394708,423918,5308,-0.29929501386119545
IA,2002,28,34,308779,315292,2004,-0.34548625750556833
IA,2004,26,36,436662,472017,1043,-0.32715475335306365
IA,2006,31,27,319763,293243,2319,-0.3224547105740271
IA,2008,40,37,561942,569631,499,-0.30223620264481327
IA,2010,32,35,339619,377001,2756,-0.33711272674654313
IA,2012,35,40,885950,950992,13257,-0.34782084421201226
IL,1982,48,40,1458819,1309585,3298,-0.21991847288955782
IL,1984,47,31,1554905,1414627,5805,-0.22725055707200098
IL,1986,62,32,1464843,1048247,3457,-0.10384348973875955
IL,1988,52,39,1791594,1591748,10487,-0.13425050944769198
IL,1990,41,25,1006839,846965,1388,-0.17529479083591165
IL,1992,54,45,2176405,1843819,13235,-0.19417754072786386
IL,1994,34,49,1070791,1188959,0,-0.1528388793002593
IL,1996,47,39,1680563,1386477,0,-0.1496397859382262
IL,1998,30,29,929060,796698,568,-0.17868226199392803
IL,2000,25,32,1126827,1151655,1230,-0.1668070497047214
IL,2002,42,31,1206751,959220,13501,-0.12433044969508997
IL,2004,32,25,1330319,1096243,17539,-0.15997352529822562
IL,2006,32,25,962305,719807,3995,-0.1229242033797629
IL,2008,24,28,1242952,1149004,19365,-0.22829995987285454
IL,2010,25,40,939820,1233523,7453,-0.21946896675604247
IL,2012,48,20,3173097,2888029,20204,-0.3088427560534141
IN,1992,40,31,769992,755992,1162,-0.2734878353915077
IN,1994,31,31,437395,489532,1943,-0.297883687985958
IN,1996,37,33,688301,719958,5503,-0.24788041512295048
IN,1998,35,24,443436,435556,4087,-0.22047432007810452
IN,2000,34,24,600764,613612,6889,-0.23954536823833858
IN,2002,33,17,369893,368374,4627,-0.2654247298418996
IN,2004,32,25,651385,671741,12704,-0.25662441212585463
IN,2006,33,31,541613,505686,7430,-0.28358333937732916
IN,2008,34,32,870184,897253,11807,-0.2516959750596371
IN,2010,35,36,546312,623384,17635,-0.256919698802991
IN,2012,20,53,1213983,1697067,19114,-0.2596250133503038
KS,1972,30,59,285526,331361,2679,-0.3173867069948379
KS,1974,34,55,267058,281822,568,-0.3202288547340229
KS,1976,45,38,308251,300705,554,-0.3288017457664193
KS,1978,47,45,258988,262843,447,-0.2795414660342818
KS,1980,30,48,257474,332545,387,-0.26082544072208974
KS,1982,34,50,241348,271620,1536,-0.2738875277061183
KS,1984,30,46,271828,329260,1523,-0.24751692735977912
KS,1986,31,34,210008,223812,0,-0.2447740091489557
KS,1988,40,59,353427,428156,2518,-0.2294688720272301
KS,1990,48,51,300892,312192,1190,-0.3011995925393609
KS,1992,45,56,421330,476352,9061,-0.29862162573134654
KS,1994,28,58,237702,331562,2839,-0.2583425089968484
KS,1996,31,51,289358,395060,8172,-0.23656671379121108
KS,1998,22,39,158688,197746,813,-0.26414443752825717
KS,2000,30,37,261770,288634,2280,-0.2171197320604156
KS,2002,19,36,166465,203502,5362,-0.2654227853879224
KS,2004,19,37,217389,289241,5011,-0.2663998047812033
KS,2006,23,52,236620,283162,4848,-0.2886406651374023
KS,2008,26,49,328615,422229,7114,-0.2571810932603486
KS,2010,18,53,189977,287536,3053,-0.24390097660568083
KS,2012,31,64,728636,1093603,22729,-0.32477908984176096
KY,1971,39,15,234175,199240,1698,-0.32873628459996557
KY,1973,39,12,256657,175367,421,-0.205851016153431
KY,1975,37,16,218037,172141,1101,-0.23872729194339098
KY,1977,32,12,202951,155458,161,-0.2348138493670073
KY,1979,26,14,183921,152507,0,-0.23045640551354035
KY,1981,28,16,213414,188252,477,-0.2546075624231148
KY,1984,28,19,304283,298711,5569,-0.25748136293543183
KY,1986,26,13,176856,132729,268,-0.2072848909286836
KY,1988,13,15,171249,204847,273,-0.258387707881336
KY,1990,36,18,259504,209074,0,-0.2239311866761472
KY,1992,21,16,278748,260155,0,-0.27868374094858284
KY,1994,14,18,132621,151452,976,-0.30485957028549676
KY,1996,32,23,378682,368111,0,-0.2813045061571619
KY,1998,29,20,308834,275647,2371,-0.30097687296089204
KY,2000,19,13,248474,244485,350,-0.30374578494671334
KY,2002,18,15,207236,188257,0,-0.2784730402004857
KY,2004,31,21,464608,454126,0,-0.33145875006918835
KY,2006,27,17,306686,247528,0,-0.2895223965523998
KY,2008,14,12,258830,236170,0,-0.29870888224613246
KY,2010,35,16,370007,331125,1462,-0.2725191275987663
KY,2012,30,22,751448,771435,2291,-0.35248103421311716
MA,1978,52,22,529496,379912,31081,-0.1935588504819244
MA,1980,47,15,556020,396594,16526,-0.20208216462353554
MA,1982,44,13,429634,296152,25714,-0.16642718153925176
MA,1984,40,18,535135,411832,13238,-0.20469193877308034
MA,1986,24,14,254750,211797,7568,-0.20567205437478825
MA,1988,35,15,483021,352130,11727,-0.17054189777238207
MA,1990,83,21,845462,644916,22591,-0.27652954356295534
MA,1992,62,25,859090,619012,12301,-0.21610762573881442
MA,1994,46,21,507377,397287,8496,-0.21193860668207876
MA,1996,34,16,459207,374470,13992,-0.2186831680739042
MA,1998,34,12,353789,244441,7448,-0.19889537118192674
MA,2000,36,11,500588,332400,7056,-0.1742532697989348
MA,2002,39,11,417776,298608,21993,-0.21839537331881226
MA,2004,72,12,986845,564907,13130,-0.12803174338574416
MA,2006,35,6,364411,222529,3465,-0.17757996917388422
MA,2008,21,8,297752,254666,9677,-0.20409110073566655
MA,2010,47,24,577348,478856,25110,-0.30877199327543053
MA,2012,42,14,1144713,578036,31411,-0.20106297584906813
ME,1978,43,56,119460,123976,4175,-0.29177753681743784
ME,1980,56,53,186454,189763,1784,-0.29162223729662123
ME,1982,61,46,171240,156301,2202,-0.2770344033926459
ME,1984,47,53,175580,182611,27,-0.27770913121952756
ME,1986,76,58,189537,183310,1325,-0.21334018008878597
ME,1988,76,43,229887,202224,3184,-0.2026721445648285
ME,1990,68,46,211387,183398,2069,-0.2503671500629511
ME,1992,69,48,268241,234138,11479,-0.27469911484979564
ME,1994,55,60,189146,193757,4658,-0.32763099700642867
ME,1996,72,65,274893,258295,7431,-0.29295611776176855
ME,1998,55,58,158933,155392,2840,-0.26771260501209826
ME,2000,54,50,215136,219597,4781,-0.2977101876042457
ME,2002,64,59,200009,195560,6927,-0.3142956397936573
ME,2004,73,69,343956,315850,13137,-0.32359303043761134
ME,2006,82,60,267944,236787,5006,-0.30886735912133917
ME,2008,77,52,325488,280109,8656,-0.2868231493788477
ME,2010,69,72,251261,264915,9471,-0.2887533025333334
ME,2012,85,55,658068,584929,42735,-0.35770612567284993
MI,1972,55,48,1495297,1505226,26498,-0.1830848954976841
MI,1974,49,43,1140547,940240,12082,-0.191812528695927
MI,1976,61,41,1712831,1451331,12475,-0.15412894243013558
MI,1978,54,38,1197207,1093974,303,-0.13984637492396693
MI,1980,46,44,1489443,1605090,10513,-0.1642114619177373
MI,1982,42,46,1208618,1119710,20982,-0.20824076514194242
MI,1984,57,51,1687555,1777704,9805,-0.13352082747678692
MI,1986,62,46,1240456,1022024,4545,-0.09699355079682573
MI,1988,56,48,1653420,1659588,13196,-0.10255927816227942
MI,1990,49,47,1094903,1117335,13263,-0.13473057041705314
MI,1992,55,42,1844326,1540068,29094,-0.16564285960955324
MI,1994,53,56,1402863,1524378,16886,-0.12918050087927355
MI,1996,58,52,1870533,1725510,25658,-0.11462834578626839
MI,1998,51,58,1439726,1473800,28548,-0.13711920654691426
MI,2000,51,57,1995769,1886928,42547,-0.11721721437545646
MI,2002,47,62,1498865,1500689,20315,-0.15140997228298042
MI,2004,51,57,2308876,2157496,37514,-0.17175185155335382
MI,2006,53,52,1888129,1624975,24414,-0.17995735064461493
MI,2008,57,43,2381599,1962242,64693,-0.19752320776028728
MI,2010,47,60,1413568,1577626,5178,-0.160177129101312
MI,2012,51,57,2387756,1976481,45606,-0.20014067229650323
MN,1974,85,29,572933,462107,4969,-0.2944339635866017
MN,1976,93,26,946873,674098,6606,-0.24027355799292716
MN,1978,53,60,619106,647262,13375,-0.3055457520233125
MN,1980,57,52,771848,762364,5635,-0.2690955987012952
MN,1982,66,57,818692,766715,5621,-0.2787315743295949
MN,1984,60,66,927839,902310,0,-0.2668137103512836
MN,1986,76,46,671978,571257,1836,-0.23042126697374135
MN,1988,75,49,998954,881173,0,-0.23576303985567726
MN,1990,66,46,780700,687143,477,-0.2414512519891972
MN,1992,83,40,1126439,905038,1387,-0.27386617255797896
MN,1994,69,53,786312,783101,3731,-0.26233392377060233
MN,1996,68,56,1006308,927628,18098,-0.2493521883403589
MN,1998,63,63,929791,948474,19761,-0.23945455274806127
MN,2000,63,56,1029456,973251,45911,-0.22782298373165116
MN,2002,47,79,970967,1017903,56895,-0.2633680685079136
MN,2004,65,67,1366162,1246401,38117,-0.27261456217991675
MN,2006,82,47,1129056,918644,9874,-0.2649122198151931
MN,2008,87,47,1516633,1211020,30966,-0.24891824872815085
MN,2010,62,68,995853,986689,20979,-0.259141758059199
MN,2012,71,59,1725697,1398690,34604,-0.27064519677820004
MO,1972,74,54,739691,714775,181,-0.272816448821361
MO,1974,64,34,435906,346679,0,-0.24549638489279269
MO,1976,50,33,557564,460753,531,-0.2359677077876718
MO,1978,82,31,629790,432017,271,-0.13625579415887656
MO,1980,55,33,630827,559353,0,-0.2065096824841099
MO,1982,63,32,500112,397941,1446,-0.21221177524434565
MO,1984,30,27,372516,366625,0,-0.24903323956879397
MO,1986,51,32,392700,370868,430,-0.20116216703722878
MO,1988,46,30,525271,454023,303,-0.2307390773994015
MO,1990,35,38,348643,332409,1954,-0.26912127746022113
MO,1992,56,41,751908,662595,7833,-0.26857655968181704
MO,1994,50,49,545353,549878,3775,-0.23744611643805666
MO,1996,53,51,705643,699327,8267,-0.2558074654816119
MO,1998,45,48,460477,493842,6375,-0.24499019289092094
MO,2000,40,44,599331,624321,3421,-0.2373029660086087
MO,2002,43,74,624250,749340,6709,-0.26468326996866276
MO,2004,36,60,749064,835766,3818,-0.2556758475273229
MO,2006,30,73,645458,739459,3519,-0.28336651244429395
MO,2008,23,62,694579,864617,4131,-0.2853662635506807
MO,2010,29,64,483929,642617,11112,-0.24163448089968245
MO,2012,27,60,1171759,1414834,5066,-0.3671503368231654
MS,1979,32,4,105788,70779,10795,-0.25614859063100537
MS,1983,21,4,84774,57329,6915,-0.23846981852373286
MS,1987,20,8,98491,75322,2954,-0.2641494748164511
MS,1991,24,18,137789,123686,1476,-0.2690666299098784
MS,1995,31,12,173941,124161,2379,-0.18772877987285919
MS,1999,20,13,116379,100990,1255,-0.24351173943178936
MS,2003,25,22,182751,175689,1224,-0.20432511906127215
MS,2007,29,18,152721,139736,2499,-0.2258970379348053
MS,2011,31,35,471202,627642,17585,-0.31629848229008384
MT,1974,56,31,114793,103977,470,-0.334089068127137
MT,1976,40,35,119359,117009,2018,-0.36124267424749607
MT,1978,35,36,98883,101722,86,-0.31620189825067396
MT,1980,25,53,127154,155494,2513,-0.3340337981863427
MT,1982,40,34,117002,116950,2546,-0.3045015831122413
MT,1984,33,45,136548,155053,1998,-0.2907016251942879
MT,1986,32,32,97850,98493,296,-0.24191379172480054
MT,1988,38,36,136842,132628,0,-0.29661016750431035
MT,1990,42,31,120426,114481,0,-0.3257345759011245
MT,1992,33,40,144467,147988,897,-0.3124226538659506
MT,1994,21,57,116047,154085,356,-0.2732103641886018
MT,1996,18,46,109954,140030,1705,-0.29932793275043396
MT,1998,23,33,86557,95677,693,-0.31627350219000055
MT,2000,31,48,140335,170138,3595,-0.2965995043660943
MT,2002,32,41,115900,125119,3155,-0.2920878896692653
MT,2004,35,40,154560,172992,4417,-0.30759592623369764
MT,2006,38,45,158505,172469,2846,-0.27497805268347164
MT,2008,40,43,189892,199057,1486,-0.27632764079561645
MT,2010,22,49,104161,139047,1621,-0.27901988930849253
MT,2012,34,49,280728,319473,6249,-0.2736395587423615
NC,2002,33,30,684007,581098,16145,-0.3174138084593695
NC,2004,27,22,682489,672272,7151,-0.2907112647421416
NC,2006,36,20,518406,444049,0,-0.28616355183442505
NC,2008,32,28,1138516,1008501,6671,-0.2817639194351797
NC,2010,40,36,816736,881120,477,-0.2638053830147495
NC,2012,31,54,3275895,3465924,31395,-0.40293773409301636
NM,1972,36,13,135787,117941,0,-0.31110928440856844
NM,1974,36,16,136589,107986,0,-0.2528857203149279
NM,1976,30,17,145706,127676,0,-0.2518896500123194
NM,1978,23,20,110851,106787,329,-0.30195681313669026
NM,1980,20,24,125609,153900,180,-0.2688740670761143
NM,1982,26,18,133880,118903,203,-0.2812774513597208
NM,1984,22,21,145058,155131,263,-0.3172343473467458
NM,1986,25,12,111485,96041,167,-0.2802955445514003
NM,1988,22,14,139109,117951,344,-0.2790727722918828
NM,1990,19,13,99744,93540,473,-0.2392964614998384
NM,1992,17,8,109410,89498,3305,-0.2834093785160199
NM,1994,18,15,104016,105499,0,-0.3185131415399234
NM,1996,23,15,152371,137441,2190,-0.29651433845799874
NM,1998,12,19,102067,120041,1112,-0.28865598395278186
NM,2000,28,13,174133,151959,952,-0.25853843021967293
NM,2002,13,17,100660,115336,0,-0.2801603545510711
NM,2004,17,10,149165,128213,198,-0.29645112649274935
NM,2006,12,16,116618,116667,0,-0.3065960152035041
NM,2008,21,10,188757,158865,766,-0.27065639329865854
NM,2010,17,16,153131,140215,1030,-0.2786326462582588
NM,2012,28,18,561999,476541,15614,-0.3450869802071033
NV,1972,21,13,81155,65838,0,-0.26561597587424457
NV,1974,25,6,69942,51149,2803,-0.17112669578392375
NV,1976,27,1,82911,44094,3519,-0.15419500825352772
NV,1978,19,12,80406,63395,3872,-0.18692016546875767
NV,1980,20,10,93015,78045,4680,-0.2356457905056892
NV,1982,21,15,98029,90222,2320,-0.24282945741214354
NV,1984,12,20,94311,108484,170,-0.27084155100273366
NV,1986,26,10,114905,99281,419,-0.24223565525813318
NV,1988,26,9,146475,128945,3884,-0.19752523477476294
NV,1990,22,14,130953,119639,4477,-0.3220245248808007
NV,1992,28,10,218461,187931,6838,-0.2824832640352645
NV,1994,15,17,124263,141199,10884,-0.2807603493138943
NV,1996,23,11,165736,169346,3684,-0.2691075305744702
NV,1998,25,6,149561,129906,3777,-0.29674178606594587
NV,2000,21,9,196988,200459,6341,-0.2716294637034159
NV,2002,18,14,172883,180928,8406,-0.3244186357994671
NV,2004,23,11,312021,296981,13228,-0.27078299081469764
NV,2006,12,12,180490,202808,9892,-0.30583157269102634
NV,2008,28,12,421183,347173,23969,-0.17977881215845115
NV,2010,26,14,307080,303663,20752,-0.23636925257774255
NV,2012,24,10,674684,543128,12453,-0.32018605374273834
NY,1972,65,80,2887147,2870201,618428,-0.19208692883145742
NY,1974,86,61,2440810,1908338,425468,-0.16283701209775547
NY,1976,87,58,2971784,2325911,457273,-0.13461595241039792
NY,1978,83,59,2069166,1762326,364250,-0.1178901829155291
NY,1980,78,60,2462147,2236837,532437,-0.09827503090618439
NY,1982,95,43,2302467,1623114,386379,-0.07943487305635578
NY,1984,86,43,2764982,2110564,406199,-0.10273540944196531
NY,1986,79,43,1727879,1256043,278182,-0.04185424882270125
NY,1988,71,37,2259543,1575432,301032,-0.06521106806381245
NY,1990,75,38,1494769,1021979,325031,-0.0736688344476005
NY,1992,90,41,2734705,1945289,479790,-0.1021730527876595
NY,1994,80,41,1938304,1458743,332040,-0.07141491263796332
NY,1996,82,39,2420837,1492343,427330,-0.05185504251451335
NY,1998,78,35,1791131,1132073,353365,-0.024702584738438168
NY,2000,73,35,2406624,1464712,350881,-0.03647075228089153
NY,2002,71,35,1711321,1127978,407802,-0.06340320246743292
NY,2004,65,33,2347839,1507416,328376,-0.068364008223681
NY,2006,68,35,1630044,1023984,321659,-0.07011284621371078
NY,2008,70,28,2489980,1385629,372651,-0.04979051560297336
NY,2010,72,38,1679941,1208204,432078,-0.12095321935376672
NY,2012,77,32,5516936,3489289,1156764,-0.25064372023010667
OH,1972,55,39,1800769,1679189,21375,-0.2651037582109773
OH,1974,54,38,1449094,1185475,27295,-0.2109939726681884
OH,1976,54,36,1819238,1515998,12129,-0.18323651575740776
OH,1978,57,35,1313095,1165387,18263,-0.1968718112516157
OH,1980,39,40,1481842,1630565,22099,-0.19793727788263513
OH,1982,61,36,1774569,1379666,41294,-0.2125695271651062
OH,1984,52,39,1913436,1886638,3380,-0.1920175035842553
OH,1986,43,37,1235940,1225523,6187,-0.19955613445199566
OH,1988,37,35,1433164,1552063,13989,-0.14785615931614274
OH,1990,61,36,1771874,1479934,0,-0.16837498529503678
OH,1992,49,43,2187283,1969517,29445,-0.18467671614258596
OH,1994,39,50,1403844,1591247,16596,-0.1687240524949134
OH,1996,34,54,1768610,1972037,37655,-0.14810670602375725
OH,1998,34,51,1349498,1488820,20403,-0.17028237924345707
OH,2000,29,55,1705758,2023681,84385,-0.22825445758446453
OH,2002,33,50,1243671,1385488,14699,-0.19150670658584643
OH,2004,25,49,1839912,2067175,14716,-0.22815681574624777
OH,2006,42,47,1879640,1647110,3199,-0.2326592788121801
OH,2008,46,33,2253309,1886532,15617,-0.20959473050826946
OH,2010,32,51,1420104,1724843,66047,-0.20597594857595924
OH,2012,32,57,3143002,4021387,45073,-0.2857156495430345
OK,1972,30,20,238662,220110,1908,-0.314200216156166
OK,1974,25,23,187595,188744,0,-0.23268841278890084
OK,1976,26,13,217141,187959,0,-0.206351422025681
OK,1978,25,17,160321,150789,255,-0.23312651109146548
OK,1980,13,16,149994,178187,906,-0.26558207874073736
OK,1982,21,13,152721,138408,0,-0.22749796750204765
OK,1984,24,22,266349,278544,2901,-0.22527901503597922
