Case ID,Violation,Year,State
86936,True,1854,Maryland
2770447,True,1865,Kentucky
5187,True,1880,Florida
4119755,True,1890,Arkansas
532852,True,1906,Alabama
97822,True,1913,Kansas
259740,True,1922,New York
101793,True,1931,Illinois
1904985,True,1934,Colorado
1508343,True,1940,Washington
1441071,True,1944,Alabama
2311701,True,1946,Kentucky
1410271,True,1947,California
1410184,True,1947,Maryland
5456,True,1948,Louisiana
2354606,True,1949,New York
3201925,True,1950,Iowa
2206871,True,1951,New Jersey
1171554,True,1951,New Mexico
2269770,True,1952,California
2191773,True,1952,Illinois
2391615,True,1953,Connecticut
2391615,True,1953,Connecticut
1346462,True,1955,Alaska
1431342,True,1955,Florida
1669318,True,1956,Florida
1669383,True,1956,Florida
2182860,True,1956,Washington
243266,True,1957,Massachusetts
4136874,True,1957,Texas
1192404,True,1959,Idaho
247798,True,1959,Missouri
1496296,True,1960,Arkansas
2182590,True,1962,California
1862985,True,1962,Florida
1863000,True,1962,Louisiana
256908,True,1962,Maryland
2184246,True,1963,Connecticut
259358,True,1963,Delaware
1112100,True,1963,Florida
1112129,True,1963,Florida
5828,True,1963,Louisiana
1120738,True,1963,New Jersey
1671390,True,1964,Colorado
267230,True,1964,New York
1296551,True,1965,Arizona
267210,True,1965,Florida
1758861,True,1966,Kentucky
276894,True,1967,Alabama
277828,True,1967,Alabama
5968,True,1968,Arizona
280631,True,1968,Arkansas
315526,True,1968,California
362480,True,1968,California
107707,True,1968,Tennessee
286884,True,1969,Alabama
1762166,True,1969,Alabama
284890,True,1969,Florida
1970331,True,1969,Maryland
290442,True,1970,Georgia
290442,True,1970,Georgia
1630579,True,1970,Louisiana
1403660,True,1970,Oklahoma
313063,True,1971,Alabama
1383118,True,1971,Alabama
298424,True,1971,Alabama
392990,True,1971,Georgia
1383126,True,1971,Idaho
2289593,True,1971,Indiana
1606346,True,1971,Louisiana
1885779,True,1971,New Jersey
1306989,True,1972,Arizona
2164551,True,1972,California
1878553,True,1972,Connecticut
1954050,True,1972,Florida
304328,True,1972,Florida
302195,True,1972,Florida
1471668,True,1973,Alabama
347141,True,1973,Alabama
6737,True,1973,California
369381,True,1973,California
1242704,True,1973,California
6708,True,1973,Louisiana
546929,True,1973,Louisiana
2333954,True,1973,New Hampshire
3555,True,1973,New York
3582,True,1973,New York
3679,True,1973,New York
4096,True,1973,New York
4115,True,1973,New York
573662,True,1973,Texas
1306749,True,1973,Washington
2609740,True,1974,Alabama
319927,True,1974,California
320302,True,1974,California
2046142,True,1974,Florida
1468398,True,1974,Hawaii
1422471,True,1974,New York
6539,True,1975,Alabama
2157250,True,1975,California
1725170,True,1975,California
6086,True,1975,Georgia
1234302,True,1975,Georgia
329719,True,1975,Georgia
357101,True,1975,Georgia
475460,True,1975,Illinois
2131991,True,1975,New York
352716,True,1975,Virginia
348798,True,1976,California
109475,True,1976,California
5116,True,1976,Louisiana
1722070,True,1976,Michigan
335176,True,1976,Michigan
3472,True,1976,New York
455314,True,1976,Ohio
532552,True,1977,Alabama
350231,True,1977,Colorado
344879,True,1977,Delaware
1595027,True,1977,Indiana
